form	lemma	POS	morph
ན་མོ་	ན་མོ་	X
༔		PUNCT
རི་བོ་	རི་བོ་	NOUN
བཀྲ་	བཀྲ་	NO_POS
བཟང་	བཟང་	VERB
འདབས་	འདབས་	NOUN
སུ་	ལ་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
དེ་	སྟེ་	PART
༔		PUNCT
		
གསང་སྔགས་	གསང་སྔགས་	NOUN
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
དང་	དང་	NO_POS
མཚུངས་	མཚུངས་	VERB
༔		PUNCT
		
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
སྤྱོད་	སྤྱོད་	VERB
སྦས་པ་	སྦས་པ་	VERB
འི་	གི་	PART
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
ས་	གིས་	PART
༔		PUNCT
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
རྗེ་འབངས་	རྗེ་འབངས་	OTHER
སྐྱོབས་པ་	སྐྱོབས་པ་	VERB
ར་	ལ་	PART
ངེས་	ངེས་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
		
དེ་	དེ་	DET
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
སེལ་	སེལ་	VERB
བྱེད་	བྱེད་	VERB
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
རང་གྲོལ་	རང་གྲོལ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
གུ་རུ་	གུ་རུ་	PROPN
འི་	གི་	PART
ཞལ་	ཞལ་	NOUN
ན་	ནས་	PART
༔		PUNCT
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
ཉིད་	ཉིད་	DET
བུ་	བུ་	NOUN
འབངས་	འབངས་	NOUN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
དུ་	ལ་	PART
ཐུགས་	ཐུགས་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
བརྩེ་བ་	བརྩེ་བ་	VERB
ས་	གིས་	PART
༔		PUNCT
		
ང་	ང་	OTHER
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
གདུང་	གདུང་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
རྣམས་	རྣམས་	DET
ལ་དུ་	ལ་དུ་	NOUN
ས་	གིས་	PART
སྙིགས་མ་	སྙིགས་མ་	NOUN
འི་	གི་	PART
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཐུགས་པ་	ཐུགས་པ་	NOUN
འི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
སྐྱོབ་	སྐྱོབ་	VERB
ཀྱི་	གི་	PART
༔		PUNCT
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
རང་བུ་	རང་བུ་	NO_POS
འབངས་	འབངས་	NOUN
ལ་	ལ་	PART
ཞལ་ཆེམས་	ཞལ་ཆེམས་	NOUN
འདི་ལྟར་	འདི་ལྟར་	NO_POS
དུ་	ལ་	PART
ཞོག་	ཞོག་	VERB
ཅེས་	ཅེས་	PART
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
རིགས་	རིགས་	NOUN
བཟང་	བཟང་	VERB
ཁུངས་	ཁུངས་	NOUN
བཙུན་	བཙུན་	VERB
འོད་གསལ་	འོད་གསལ་	NOUN
ལྷ་	ལྷ་	NOUN
ཡི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
༔		PUNCT
		
མུ་	མུ་	NOUN
ཁྲི་	ཁྲི་	NUM
བཙན་པོ་	བཙན་པོ་	NOUN
མན་ཆད་	མན་ཆད་	ADV
གདུང་	གདུང་	NOUN
བརྒྱུད་མ་	བརྒྱུད་མ་	NO_POS
ཆད་	ཆད་	VERB
བ་	བ་	NOUN
༔		PUNCT
		
བདག་	བདག་	PRON
གི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
རྒྱུན་	རྒྱུན་	NOUN
དུ་	ལ་	PART
བཟུང་	བཟུང་	NO_POS
ལགས་	ལགས་	AUX
ཀྱི་	གི་	PART
༔		PUNCT
སྡིག་སྤྱོད་	སྡིག་སྤྱོད་	NOUN
གྲོག་	གྲོག་	NOUN
དང་	དང་	NO_POS
བློན་པོ་	བློན་པོ་	NOUN
འི་	གི་	PART
ཁ་	ཁ་	PRON
ར་	ལ་	PART
མ་	མ་	PART
བཏང་	བཏང་	VERB
༔		PUNCT
		
རྒྱལ་ཁྲིམས་	རྒྱལ་ཁྲིམས་	OTHER
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
ཁྲིམས་	ཁྲིམས་	NOUN
ཀྱིས་	གིས་	PART
འཚོ་བ་	འཚོ་བ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
༔		PUNCT
		
ཆོ་	ཆོ་	NOUN
མེད་	མེད་	VERB
དྲེད་པོ་	དྲེད་པོ་	ADJ
ཟོལ་ཟོག་	ཟོལ་ཟོག་	NO_POS
གཡོ་སྒྱུ་	གཡོ་སྒྱུ་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
སྙིགས་དུས་	སྙིགས་དུས་	OTHER
འབྱུང་བ་	འབྱུང་བ་	VERB
ས་	གིས་	PART
ཚ་	ཚ་	VERB
ཆོད་	ཆོད་	VERB
ཆོས་ཁྲིམས་	ཆོས་ཁྲིམས་	NOUN
ཚུགས་	ཚུགས་	VERB
༔		PUNCT
		
ཆོས་བཞིན་	ཆོས་བཞིན་	NO_POS
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ས་	གིས་	PART
རྒྱལ་ཁམས་	རྒྱལ་ཁམས་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
༔		PUNCT
སྐུ་སྲོག་	སྐུ་སྲོག་	NOUN
ཉེན་	ཉེན་	VERB
ཞིང་	ཅིང་	PART
མངའ་ཐང་	མངའ་ཐང་	NOUN
འཕྲོག་པ་	འཕྲོག་པ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
		
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དམངས་	དམངས་	NOUN
སུ་	ལ་	PART
འབེབས་པ་	འབེབས་པ་	VERB
འི་	གི་	PART
གལ་	གལ་	ADV
བྱུང་	བྱུང་	VERB
ན་	ལ་	PART
༔		PUNCT
		
ལྷ་སྲིན་	ལྷ་སྲིན་	NOUN
དཔང་	དཔང་	NO_POS
དུ་	ལ་	PART
ཚུགས་	ཚུགས་	VERB
ལ་	ལ་	PART
བཟློག་པ་	བཟློག་པ་	VERB
མཛོད་	མཛོད་	NOUN
༔		PUNCT
སྙིགས་དུས་	སྙིགས་དུས་	OTHER
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ར་	ལ་	PART
སྙིང་བརྩེ་	སྙིང་བརྩེ་	NOUN
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
༔		PUNCT
		
བྲག་རི་	བྲག་རི་	NOUN
དུག་སྦྲུལ་	དུག་སྦྲུལ་	NOUN
སྤུངས་	སྤུངས་	VERB
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
སྐེད་པ་	སྐེད་པ་	NO_POS
ལ་	ལ་	PART
༔		PUNCT
		
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
གདུང་	གདུང་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
བདོག་	བདོག་	VERB
༔		PUNCT
དེ་དུས་	དེ་དུས་	PRON
སྐྱེ་འགྲོ་	སྐྱེ་འགྲོ་	NOUN
མི་	མི་	PART
རྣམས་	རྣམས་	DET
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
ཆེ་	ཆེ་	VERB
༔		PUNCT
		
ལོག་ལྟ་	ལོག་ལྟ་	NOUN
མ་	མ་	PART
བྱེད་	བྱེད་	VERB
ང་	ང་	PRON
ཡི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བཞིན་	བཞིན་	NOUN
སྒྲུབས་	སྒྲུབས་	VERB
༔		PUNCT
		
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
བསམ་པ་	བསམ་པ་	VERB
དེ་	སྟེ་	PART
ཡི་	གིས་	PART
འགྲུབ་	འགྲུབ་	VERB
༔		PUNCT
སྡིག་སྤྱོད་	སྡིག་སྤྱོད་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
བདག་	བདག་	PRON
གིས་	གིས་	PART
སྐྱོབ་	སྐྱོབ་	VERB
མི་	མི་	PART
འགྱུར་	འགྱུར་	VERB
༔		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
གུ་རུ་	གུ་རུ་	PROPN
འི་	གི་	PART
ཞལ་	ཞལ་	NOUN
ན་	ནས་	PART
༔		PUNCT
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
ཀྱི་	གི་	PART
གདུང་རབས་	གདུང་རབས་	NOUN
ཐ་མ་	ཐ་མ་	ADJ
མང་ཡུལ་	མང་ཡུལ་	PROPN
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
དུ་	ལ་	PART
ང་	ང་	PRON
ཡི་	གི་	PART
གཏེར་	གཏེར་	NOUN
གྱིས་	གིས་	PART
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
༔		PUNCT
		
བོད་	བོད་	PROPN
སྡུག་པ་	སྡུག་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
ལ་	ལ་	PART
བབས་པ་	བབས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
༔		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ལ་	ལ་	PART
ཅི་	ཅི་	NO_POS
མི་འདོད་པ་	མི་འདོད་པ་	NO_POS
འབྱུང་	འབྱུང་	VERB
༔		PUNCT
		
སྟེང་	སྟེང་	NOUN
ལྷ་སྲིན་	ལྷ་སྲིན་	NOUN
འཁྲུགས་	འཁྲུགས་	NO_POS
༔		PUNCT
		
འོག་	འོག་	NOUN
ཀླུ་གཉན་	ཀླུ་གཉན་	OTHER
འཁྲུགས་	འཁྲུགས་	NO_POS
༔		PUNCT
		
བ་	བ་	NOUN
གཞི་བདག་	གཞི་བདག་	NOUN
འཁྲུགས་	འཁྲུགས་	NO_POS
༔		PUNCT
སྡིག་སྤྱོད་	སྡིག་སྤྱོད་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འཁྲུགས་	འཁྲུགས་	NO_POS
༔		PUNCT
		
དམངས་	དམངས་	NOUN
ཕལ་པ་	ཕལ་པ་	NOUN
འཁྲུགས་	འཁྲུགས་	NO_POS
༔		PUNCT
		
ཕ་སྤུན་	ཕ་སྤུན་	NOUN
ནང་	ནང་	NOUN
འཁྲུགས་	འཁྲུགས་	NO_POS
༔		PUNCT
		
དེ་	དེ་	DET
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	PART
ཐུག་	ཐུག་	VERB
༔		PUNCT
ཡི་དམ་	ཡི་དམ་	NOUN
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཡལ་	ཡལ་	NO_POS
༔		PUNCT
		
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
རི་རབ་	རི་རབ་	PROPN
ལ་	ལ་	PART
ཞལ་གཟིགས་	ཞལ་གཟིགས་	NO_POS
༔		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
གྱི་	གི་	PART
སྐྱིད་པ་	སྐྱིད་པ་	VERB
ཟད་པ་	ཟད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཡོན་མཆོད་	ཡོན་མཆོད་	NO_POS
རྗེ་འབངས་	རྗེ་འབངས་	OTHER
རྣམས་	རྣམས་	DET
༔		PUNCT
		
ང་	ང་	PRON
ཡི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བཞིན་	བཞིན་	NOUN
སྒྲུབས་	སྒྲུབས་	VERB
ལ་	ལ་	PART
གཏེར་	གཏེར་	NOUN
གྱི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
སྤྱོད་	སྤྱོད་	VERB
༔		PUNCT
		
པདྨ་	པདྨ་	NOUN
བདག་	བདག་	PRON
གི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
མྱུར་	མྱུར་	VERB
ལ་	ལ་	PART
སྟོབས་	སྟོབས་	NOUN
ཆེ་བ་	ཆེ་བ་	VERB
དེ་	དེ་	DET
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
འབྱུང་	འབྱུང་	VERB
ངོ་	གོ་	PART
༔		PUNCT
དུས་རྒྱུན་	དུས་རྒྱུན་	OTHER
ཆད་	ཆད་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
ང་	ང་	PRON
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
ཐོབ་	ཐོབ་	VERB
ཅེས་	ཅེས་	PART
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
༔		PUNCT
		
ནུབ་ཕྱོགས་	ནུབ་ཕྱོགས་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ཅན་	ཅན་	PART
གྱི་	གི་	PART
ཞིང་ཁམས་	ཞིང་ཁམས་	NOUN
སུ་	ལ་	PART
༔		PUNCT
སྣང་བ་	སྣང་བ་	VERB
མཐའ་	མཐའ་	NOUN
ཡ་		
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
གཡོ་	གཡོ་	VERB
༔		PUNCT
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
བྱིན་	བྱིན་	VERB
བརླབས་	བརླབས་	NO_POS
ཏེ་	སྟེ་	PART
༔		PUNCT
འཛམ་བུ་	འཛམ་བུ་	NOUN
འི་	གི་	PART
གླིང་	གླིང་	NOUN
དུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	PART
བྱོན་	བྱོན་	VERB
༔		PUNCT
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
ཆད་	ཆད་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
༔		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཁྲི་	ཁྲི་	NUM
སྲོང་	སྲོང་	NO_POS
ལྡེའུ་	ལྡེའུ་	OTHER
བཙན་	བཙན་	VERB
མན་ཆད་	མན་ཆད་	ADV
ན་	ནས་	PART
༔		PUNCT
ཆོས་རྒྱལ་	ཆོས་རྒྱལ་	NOUN
གདུང་	གདུང་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
མཐའ་	མཐའ་	NOUN
ལ་མ་	ལ་མ་	NO_POS
སྟོངས་	སྟོངས་	VERB
བ་	བ་	NOUN
༔		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
རྒྱུན་	རྒྱུན་	NOUN
ཆད་	ཆད་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
༔		PUNCT
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
གཉེན་	གཉེན་	NOUN
གཅིག་པུ་	གཅིག་པུ་	ADJ
༔		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
སྐྱོང་བ་	སྐྱོང་བ་	VERB
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
༔		PUNCT
སྐུ་	སྐུ་	NOUN
ནི་	ནི་	NO_POS
ལྷོ་ནུབ་	ལྷོ་ནུབ་	NO_POS
སྲིན་པོ་	སྲིན་པོ་	NOUN
འི་	གི་	PART
ཁ་	ཁ་	PRON
གནོན་	གནོན་	VERB
མཛད་	མཛད་	VERB
༔		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཡོངས་	ཡོངས་	DET
ལ་	ལ་	PART
གཟིགས་	གཟིགས་	VERB
༔		PUNCT
མ་རིག་	མ་རིག་	NOUN
ལོག་པ་	ལོག་པ་	VERB
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
དཔལ་	དཔལ་	OTHER
༔		PUNCT
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
གདུལ་	གདུལ་	NO_POS
དཀ་	དཀའ་	VERB
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐབས་	ཐབས་	NOUN
ཀྱིས་	གིས་	PART
འདུལ་	འདུལ་	NO_POS
༔		PUNCT
བརྩེ་གདུང་	བརྩེ་གདུང་	OTHER
རྒྱུན་	རྒྱུན་	NOUN
ཆད་	ཆད་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
༔		PUNCT
དུས་	དུས་	NOUN
ངན་སྙིགས་	ངན་སྙིགས་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	PART
ཐུག་པ་	ཐུག་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
ནངས་	ནངས་	ADV
རེ་	རེ་	DET
དགོངས་	དགོངས་	VERB
རེ་	རེ་	DET
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	PART
བྱོན་	བྱོན་	VERB
༔		PUNCT
ཉི་ཟེར་	ཉི་ཟེར་	OTHER
འཆར་	འཆར་	NO_POS
སྡུད་	སྡུད་	VERB
མདངས་	མདངས་	NOUN
ལ་	ལ་	PART
བཅིབས་	བཅིབས་	NO_POS
ཏེ་	སྟེ་	PART
བྱོན་	བྱོན་	VERB
༔		PUNCT
ཡར་ངོ་	ཡར་ངོ་	NOUN
ཚེས་བཅུ་	ཚེས་བཅུ་	OTHER
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
༔		PUNCT
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
སྟོབས་ཆེན་	སྟོབས་ཆེན་	OTHER
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
༔		PUNCT
ལྔ་	ལྔ་	NUM
བརྒྱ་	བརྒྱ་	NUM
འི་	གི་	PART
ཐ་མ་	ཐ་མ་	ADJ
རྩོད་དུས་	རྩོད་དུས་	NO_POS
སྙིགས་མ་	སྙིགས་མ་	NOUN
ལ་	ལ་	PART
༔		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
དུག་	དུག་	NOUN
ལྔ་	ལྔ་	NUM
རགས་	རགས་	VERB
༔		PUNCT
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
འབྱོལ་	འབྱོལ་	NO_POS
ཉོག་	ཉོག་	NO_POS
དུག་	དུག་	NOUN
ལྔ་	ལྔ་	NUM
རང་རྒྱུད་	རང་རྒྱུད་	NOUN
སྤྱོད་	སྤྱོད་	VERB
༔		PUNCT
དེ་	སྟེ་	PART
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
ན་	ལ་	PART
ཁྱེད་	ཁྱེད་	PRON
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
སྐྱོབས་	སྐྱོབས་	VERB
༔		PUNCT
དད་	དད་	VERB
ལྡན་	ལྡན་	VERB
མཐོ་རིས་	མཐོ་རིས་	NOUN
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
༔		PUNCT
ཧོར་	ཧོར་	PROPN
སོག་	སོག་	VERB
འཇིགས་པ་	འཇིགས་པ་	VERB
འི་	གི་	PART
དམག་	དམག་	NOUN
གིས་	གིས་	PART
མཐའ་	མཐའ་	NOUN
བསྐོར་	བསྐོར་	VERB
ན་	ནས་	PART
༔		PUNCT
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
གཉན་པོ་	གཉན་པོ་	OTHER
འཇིག་	འཇིག་	VERB
ལ་	ལ་	PART
ཐུག་པ་	ཐུག་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
ཡིད་གཉིས་	ཡིད་གཉིས་	NO_POS
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ལྷ་སྲིན་	ལྷ་སྲིན་	NOUN
སྡེ་བརྒྱད་	སྡེ་བརྒྱད་	OTHER
འཁོར་	འཁོར་	NOUN
གྱིས་	གིས་	PART
བསྐོར་	བསྐོར་	VERB
༔		PUNCT
ཧོར་	ཧོར་	PROPN
སོག་	སོག་	VERB
དམག་དཔུང་	དམག་དཔུང་	NO_POS
བཟློག་པ་	བཟློག་པ་	VERB
ར་	ལ་	PART
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
མེད་	མེད་	VERB
༔		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
༔		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
